hero_names,Powers
Venom,"Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Weapon-based Powers,Jump,Shapeshifting,Reflexes,Natural Weapons,Wallcrawling,Web Creation,Symbiote Costume"
Venom II,"Agility,Durability,Super Strength,Super Speed,Animal Oriented Powers,Shapeshifting,Camouflage,Reflexes,Wallcrawling"
Venom III,"Agility,Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Camouflage,Reflexes,Natural Weapons,Wallcrawling,Symbiote Costume"
Venompool,"Agility,Accelerated Healing,Dimensional Awareness,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Stamina,Super Speed,Weapon-based Powers,Teleportation,Jump,Immortality,Reflexes,Natural Armor,Regeneration,Natural Weapons,Toxin and Disease Resistance,Telepathy Resistance,Mind Control Resistance,Wallcrawling,Web Creation,Symbiote Costume"
Vertigo II,Psionic Powers
Vibe,"Dimensional Awareness,Energy Blasts,Teleportation,Dimensional Travel,Power Nullifier,Seismic Power"
Vindicator,"Durability,Flight,Energy Beams,Element Control,Force Fields,Heat Generation,Gravity Control,Water Control"
Violator,"Durability,Super Strength,Telepathy,Shapeshifting,Sonic Scream"
Violet Parr,"Stealth,Intelligence,Energy Constructs,Force Fields,Levitation,Invisibility"
Vision,"Durability,Stealth,Energy Absorption,Flight,Marksmanship,Intelligence,Super Strength,Telepathy,Energy Blasts,Density Control,Stamina,Super Speed,Energy Beams,Phasing,Reflexes,Invulnerability,Technopath/Cyberpath,Enhanced Hearing,Natural Armor,Intangibility"
Vixen,"Agility,Accelerated Healing,Stealth,Flight,Danger Sense,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Shapeshifting,Force Fields,Enhanced Hearing,Enhanced Sight,Natural Weapons,Enhanced Smell,Wallcrawling"
Vulture,"Agility,Flight,Marksmanship,Super Strength,Super Speed,Animal Oriented Powers,Gravity Control,Levitation"
Walrus,"Durability,Super Strength,Natural Armor,Natural Weapons"
War Machine,"Durability,Energy Absorption,Flight,Underwater breathing,Marksmanship,Super Strength,Energy Blasts,Super Speed,Weapon-based Powers,Energy Beams,Phasing,Power Suit,Radiation Immunity,Vision - Telescopic,Magnetism,Invisibility,Vision - Night,Vision - Thermal"
Warlock,"Agility,Durability,Flight,Super Strength,Energy Blasts,Stamina,Super Speed,Reflexes,Energy Manipulation"
Warp,"Flight,Teleportation"
Warpath,"Agility,Cold Resistance,Durability,Super Strength,Stamina,Super Speed,Reflexes,Enhanced Hearing,Heat Resistance,Vision - Telescopic,Vision - Night"
Wasp,"Agility,Stealth,Flight,Intelligence,Super Strength,Energy Blasts,Size Changing,Animal Oriented Powers,Weapon-based Powers"
Watcher,"Dimensional Awareness,Flight,Intelligence,Telepathy,Size Changing,Teleportation,Immortality,Phasing,Invulnerability,Force Fields,Empathy,Psionic Powers,Enhanced Hearing,Energy Manipulation,Illusions,Telepathy Resistance,Omnilingualism,Invisibility"
Weapon XI,"Agility,Accelerated Healing,Super Strength,Energy Blasts,Super Speed,Weapon-based Powers,Teleportation"
White Canary,"Agility,Stealth,Weapons Master,Stamina,Reflexes"
Wildfire,"Energy Absorption,Flight,Super Strength,Energy Blasts,Size Changing,Invulnerability,Energy Manipulation,Vision - X-Ray"
Winter Soldier,"Marksmanship,Longevity,Super Strength,Energy Blasts,Peak Human Condition"
Wolfsbane,"Animal Attributes,Super Strength,Super Speed,Enhanced Senses,Shapeshifting,Reflexes,Natural Weapons,Vision - Thermal"
Wolverine,"Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Longevity,Super Strength,Stamina,Animal Oriented Powers,Enhanced Senses,Jump,Reflexes,Empathy,Enhanced Hearing,Enhanced Sight,Regeneration,Natural Weapons,Enhanced Smell,Vision - Telescopic,Toxin and Disease Resistance,Vision - Night"
Wonder Girl,"Agility,Durability,Flight,Longevity,Intelligence,Super Strength,Super Speed,Electrokinesis,Invulnerability"
Wonder Man,"Durability,Flight,Longevity,Super Strength,Energy Blasts,Size Changing,Stamina,Super Speed,Reflexes,Invulnerability,Self-Sustenance"
Wonder Woman,"Accelerated Healing,Durability,Flight,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Super Speed,Animal Oriented Powers,Weapon-based Powers,Enhanced Senses,Dimensional Travel,Enhanced Memory,Reflexes,Force Fields,Fire Resistance,Enhanced Hearing,Hypnokinesis,Enhanced Smell,Vision - Telescopic,Toxin and Disease Resistance,Magic Resistance,Vision - Microscopic,Vision - Night,Vision - Infrared,Vision - X-Ray,Vision - Thermal"
X-23,"Agility,Accelerated Healing,Durability,Stealth,Marksmanship,Longevity,Super Strength,Stamina,Jump,Reflexes,Enhanced Hearing,Enhanced Sight,Natural Weapons,Enhanced Smell,Vision - Telescopic,Toxin and Disease Resistance,Vision - Night"
X-Man,"Flight,Telepathy,Astral Travel,Teleportation,Telekinesis,Phasing,Astral Projection,Psionic Powers,Mind Control,Intangibility,Illusions"
Yellowjacket,"Size Changing,Animal Oriented Powers"
Yellowjacket II,"Flight,Energy Blasts,Size Changing"
Ymir,"Cold Resistance,Durability,Longevity,Super Strength,Cryokinesis,Immortality"
Yoda,"Agility,Stealth,Danger Sense,Marksmanship,Weapons Master,Longevity,Intelligence,Telepathy,Energy Blasts,Stamina,Super Speed,Telekinesis,Jump,Reflexes,Force Fields,Empathy,Precognition,Cloaking,The Force"
Zatanna,"Cryokinesis,Telepathy,Magic,Fire Control,Probability Manipulation,Water Control,Terrakinesis,Weather Control"
Zoom,"Super Speed,Intangibility,Time Travel,Time Manipulation"
